year,park,visits
2014,Grand Teton National Park,2791392
2014,Great Basin National Park,107526
2014,Great Sand Dunes National Park & Preserve,271774
2014,Great Smoky Mountains National Park,10099276
2014,Guadalupe Mountains National Park,166868
2014,Haleakala National Park,1142040
2014,Hawaii Volcanoes National Park,1693005
2014,Hot Springs National Park,1424484
2014,Indiana Dunes National Park,1553372
2014,Isle Royale National Park,14560
2014,Joshua Tree National Park,1589904
2014,Katmai National Park & Preserve,30896
2014,Kenai Fjords National Park,270666
2014,Kings Canyon National Park,502268
2014,Kobuk Valley National Park,0
2014,Lake Clark National Park & Preserve,16100
2014,Lassen Volcanic National Park,432977
2014,Mammoth Cave National Park,522628
2014,Mesa Verde National Park,501563
2014,Mount Rainier National Park,1264259
2014,New River Gorge National Park & Preserve,1124799
2014,North Cascades National Park,23865
2014,Olympic National Park,3243872
2014,Petrified Forest National Park,836799
2014,Pinnacles National Park,196635
2014,Redwood National Park,429166
2014,Rock Creek Park,2437948
2014,Rocky Mountain National Park,3434751
2014,Saguaro National Park,673572
2014,Sequoia National Park,1039137
2014,Shenandoah National Park,1255321
2014,Theodore Roosevelt National Park,559580
2014,Virgin Islands National Park,426930
2014,Voyageurs National Park,239160
2014,White Sands National Park,503660
2014,Wind Cave National Park,547022
2014,Wrangell-St. Elias National Park & Preserve,74722
2014,Yellowstone National Park,3513484
2014,Yosemite National Park,3882642
2014,Zion National Park,3189696
2015,Acadia National Park,2811184
2015,Arches National Park,1399247
2015,Badlands National Park,989354
2015,Big Bend National Park,381747
2015,Biscayne National Park,508164
2015,Black Canyon of the Gunnison National Park,209166
2015,Bryce Canyon National Park,1745804
2015,Canyonlands National Park,634607
2015,Capitol Reef National Park,941029
2015,Carlsbad Caverns National Park,445720
2015,Channel Islands National Park,324816
2015,Congaree National Park,87513
2015,Crater Lake National Park,614712
2015,Cuyahoga Valley National Park,2284612
2015,Death Valley National Park,1154843
2015,Denali National Park & Preserve,560757
2015,Dry Tortugas National Park,70862
2015,Everglades National Park,1077427
2015,Gates of the Arctic National Park & Preserve,10745
2015,Gateway Arch National Park,1698656
2015,Glacier Bay National Park & Preserve,551353
2015,Glacier National Park,2366056
2015,Grand Canyon National Park,5520736
2015,Grand Teton National Park,3149921
2015,Great Basin National Park,116123
2015,Great Sand Dunes National Park & Preserve,299513
2015,Great Smoky Mountains National Park,10712674
2015,Guadalupe Mountains National Park,169535
2015,Haleakala National Park,1216772
2015,Hawaii Volcanoes National Park,1832660
2015,Hot Springs National Park,1418162
2015,Indiana Dunes National Park,1640195
2015,Isle Royale National Park,18684
2015,Joshua Tree National Park,2025756
2015,Katmai National Park & Preserve,37818
2015,Kenai Fjords National Park,296697
2015,Kings Canyon National Park,468106
2015,Kobuk Valley National Park,0
2015,Lake Clark National Park & Preserve,17818
2015,Lassen Volcanic National Park,468092
2015,Mammoth Cave National Park,566895
2015,Mesa Verde National Park,547325
2015,Mount Rainier National Park,1237231
2015,New River Gorge National Park & Preserve,1178753
2015,North Cascades National Park,20677
2015,Olympic National Park,3263761
2015,Petrified Forest National Park,793225
2015,Pinnacles National Park,206533
2015,Redwood National Park,527143
2015,Rock Creek Park,2443772
2015,Rocky Mountain National Park,4155916
2015,Saguaro National Park,753446
2015,Sequoia National Park,1097464
2015,Shenandoah National Park,1321873
2015,Theodore Roosevelt National Park,580033
2015,Virgin Islands National Park,438372
2015,Voyageurs National Park,238313
2015,White Sands National Park,497506
2015,Wind Cave National Park,612198
2015,Wrangell-St. Elias National Park & Preserve,80366
2015,Yellowstone National Park,4097710
2015,Yosemite National Park,4150217
2015,Zion National Park,3648846
2016,Acadia National Park,3303393
2016,Arches National Park,1585718
2016,Badlands National Park,996263
2016,Big Bend National Park,388290
2016,Biscayne National Park,514709
2016,Black Canyon of the Gunnison National Park,238018
2016,Bryce Canyon National Park,2365110
2016,Canyonlands National Park,776218
2016,Capitol Reef National Park,1064904
2016,Carlsbad Caverns National Park,466773
2016,Channel Islands National Park,364807
2016,Congaree National Park,143843
2016,Crater Lake National Park,756344
2016,Cuyahoga Valley National Park,2423390
2016,Death Valley National Park,1296283
2016,Denali National Park & Preserve,587412
2016,Dry Tortugas National Park,73661
2016,Everglades National Park,930907
2016,Gates of the Arctic National Park & Preserve,10047
2016,Gateway Arch National Park,1271855
2016,Glacier Bay National Park & Preserve,520171
2016,Glacier National Park,2946681
2016,Grand Canyon National Park,5969811
2016,Grand Teton National Park,3270076
2016,Great Basin National Park,144846
2016,Great Sand Dunes National Park & Preserve,388308
2016,Great Smoky Mountains National Park,11312786
2016,Guadalupe Mountains National Park,181839
2016,Haleakala National Park,1263558
2016,Hawaii Volcanoes National Park,1887580
2016,Hot Springs National Park,1544300
2016,Indiana Dunes National Park,1698223
2016,Isle Royale National Park,24966
2016,Joshua Tree National Park,2505286
2016,Katmai National Park & Preserve,37818
2016,Kenai Fjords National Park,346534
2016,Kings Canyon National Park,607479
2016,Kobuk Valley National Park,15500
2016,Lake Clark National Park & Preserve,21102
2016,Lassen Volcanic National Park,536068
2016,Mammoth Cave National Park,586514
2016,Mesa Verde National Park,583527
2016,Mount Rainier National Park,1356913
2016,New River Gorge National Park & Preserve,1197931
2016,North Cascades National Park,28646
2016,Olympic National Park,3390221
2016,Petrified Forest National Park,643274
2016,Pinnacles National Park,215555
2016,Redwood National Park,536297
2016,Rock Creek Park,2478735
2016,Rocky Mountain National Park,4517585
2016,Saguaro National Park,820426
2016,Sequoia National Park,1254688
2016,Shenandoah National Park,1437341
2016,Theodore Roosevelt National Park,753880
2016,Virgin Islands National Park,411343
2016,Voyageurs National Park,241912
2016,White Sands National Park,555793
2016,Wind Cave National Park,617377
2016,Wrangell-St. Elias National Park & Preserve,79047
2016,Yellowstone National Park,4257177
2016,Yosemite National Park,5028868
2016,Zion National Park,4295127
2017,Acadia National Park,3509271
2017,Arches National Park,1539028
2017,Badlands National Park,1054325
2017,Big Bend National Park,440276
2017,Biscayne National Park,446961
2017,Black Canyon of the Gunnison National Park,307143
2017,Bryce Canyon National Park,2571684
2017,Canyonlands National Park,742271
2017,Capitol Reef National Park,1150165
2017,Carlsbad Caverns National Park,520026
2017,Channel Islands National Park,383687
2017,Congaree National Park,159595
2017,Crater Lake National Park,711749
2017,Cuyahoga Valley National Park,2226879
2017,Death Valley National Park,1294827
2017,Denali National Park & Preserve,642809
2017,Dry Tortugas National Park,54281
2017,Everglades National Park,1018557
2017,Gates of the Arctic National Park & Preserve,11177
2017,Gateway Arch National Park,1398188
2017,Glacier Bay National Park & Preserve,547057
2017,Glacier National Park,3305512
2017,Grand Canyon National Park,6254238
2017,Grand Teton National Park,3317000
2017,Great Basin National Park,168028
2017,Great Sand Dunes National Park & Preserve,486935
2017,Great Smoky Mountains National Park,11338893
2017,Guadalupe Mountains National Park,225257
2017,Haleakala National Park,1112390
2017,Hawaii Volcanoes National Park,2016702
2017,Hot Springs National Park,1561616
2017,Indiana Dunes National Park,2158471
2017,Isle Royale National Park,28196
2017,Joshua Tree National Park,2853619
2017,Katmai National Park & Preserve,37818
2017,Kenai Fjords National Park,303598
2017,Kings Canyon National Park,692932
2017,Kobuk Valley National Park,15500
2017,Lake Clark National Park & Preserve,22755
